Current_status,Tag,,Maps,That is 
Your package is currently at the UPS Access Point™ and is scheduled to be tendered to UPS.,,,,
Shipment cancelled by sender,,,,
Votre colis est dans le site de livraison qui dessert votre adresse. Nous le préparons pour le mettre en livraison.,,,,
The receiving business was closed and delivery has been rescheduled for the next business day.,,,,
We have disposed of this parcel,,,,
Loading,,,,
The previous event was deleted by driver,,,,
Shipment Created,,,,
INBOUND,,,,
Departed FedEx hub,,,,
Business closed for the day. Item on hold for second delivery attempt.,,,,
The shipment is being brought to [Ollenhauerstr. 137  13403 Berlin].The earliest time when it can be picked up can be found on the notification card.,,,,
The shipment is being brought to [Neusser Str. 415-419 50733 Köln].The earliest time when it can be picked up can be found on the notification card.,,,,
In transit to EVRi tracking #: H01SSA0024646971,,,,
Shipment exception,,,,
SHIPMENT ARRIVED AT HUB,,,,
Item released by customs,,,,
Delivery updated,,,,
The shipment is being brought to [PACKSTATION 158 Auf der Klaus 7 56422 Wirges].The earliest time when it can be picked up can be found on the notification card.,,,,
"Votre colis a subi un incident. Malheureusement, votre colis ne peut plus vous être acheminé. Nous vous invitons à contacter votre expéditeur ou son service clients. Si vous êtes l'expéditeur, vous po",,,,
INTERNATIONAL DISPATCH READY,,,,
Order Shipped,,,,
The shipment is being brought to [Sprengelstr. 13  13353 Berlin].The earliest time when it can be picked up can be found on the notification card.,,,,
Shipment in transit to distribution center,,,,
CUSTOMS CLEARANCE/ON DESTINATION ROUTE,,,,
Votre colis ne peut être livré ce jour en raison d'une situation exceptionnelle indépendante de notre volonté. Il sera mis en livraison dans les prochains jours.,,,,
Label Cancelled,,,,
"Failed delivery attempt, returning to the warehouse. (Wrong Contact Info)",,,,
Votre Colissimo est en cours de traitement sur le site de tri local.,,,,
Accepted,,,,
We have received the details for this parcel and expect it to reach the  network shortly,,,,
We’re sorry your package was delayed. Delivery will be delayed by one business day.,,,,
The parcel is being delivered as requested.,,,,
Refused upon delivery as we've been advised this parcel was not ordered by anyone at the address,,,,
The sender requested a modified intercept for this package. / Package could not be located for intercept.,,,,
"Failed delivery attempt, returning to the warehouse. (P.O. Box)",,,,
The shipment is being brought to [Rogätzer Str. 80  39106 Magdeburg].The earliest time when it can be picked up can be found on the notification card.,,,,
Delivery preference - Front door,,,,
USPS electronic receipt of item for mailing,,,,
SHIPMENT ARRIVED,,,,
Item redirected to recipient's new address,,,,
Item was unclaimed by recipient. Item being returned to sender.,,,,
Business temporarily closed; item on hold,,,,
The item is at the PostNL sorting center,,,,
"En raison d'un problème d'adressage, votre colis a été réacheminé vers le site de distribution qui dessert votre adresse.",,,,
In transit to GLSEU tracking #:  984204396314,,,,
In transit to EVRi tracking #: H01SSA0024685466,,,,
ParcelShop Divert Requested,,,,
In transit to MAERSK tracking #:  epg040501100313914,,,,
Arrived at FedEx hub,,,,
The item was successfully returned to the sender.,,,,
This parcel is back at the depot and the damage will be assessed ,,,,
Votre colis n'a pas pu vous être remis. Il sera mis en livraison demain (hors dimanche et jours fériés).,,,,
CUSTOMS CLEARANCE PROCESSING COMPLETE,,,,
The shipment is being brought to [Elisabethstr. 7  04315 Leipzig].The earliest time when it can be picked up can be found on the notification card.,,,,
The shipment is being brought to [Bamberger Str. 22  10779 Berlin].The earliest time when it can be picked up can be found on the notification card.,,,,
The shipment is being brought to [PACKSTATION 702 Frankfurter Str. 39 65189 Wiesbaden].The earliest time when it can be picked up can be found on the notification card.,,,,
The shipment is being brought to [Thalfinger Str. 53  89233 Neu-Ulm].The earliest time when it can be picked up can be found on the notification card.,,,,
In transit to GLSEU tracking #:  984204396475,,,,
The shipment is being brought to [Senefelderstr. 49  70176 Stuttgart].The earliest time when it can be picked up can be found on the notification card.,,,,
In transit to GLSEU tracking #:  984203873595,,,,
"The courier hasn’t received this parcel, please allow 24hrs for the courier to receive it",,,,
"This parcel is too large to deliver, we will arrange for a specialised courier to deliver this",,,,
"Failed delivery attempt, returning to the warehouse. (Business Closed)",,,,
Returned to Destination Hub,,,,
"Votre colis a subi un incident. Malheureusement, il ne peut plus vous être acheminé. Nous vous invitons à contacter votre expéditeur ou son service clients. Si vous êtes l'expéditeur, vous pouvez cont",,,,
In transit to USPS tracking #:  LV791684244US,,,,
All merchandise is missing and the empty carton was discarded. UPS will notify the sender.,,,,
The shipment is being brought to [Bahnhofstr. 1  - 3  73430 Aalen].The earliest time when it can be picked up can be found on the notification card.,,,,
OFFICE CLOSED; UNABLE TO DELIVER,,,,
Votre colis est en transit sur nos plateformes logistiques.,,,,
In transit to EVRi tracking #: H01SSA0024682434,,,,
At destination sort facility,,,,
Your parcel is with a local driver and will be delivered today,,,,
Item cannot be delivered; more details to be provided,,,,
This parcel is currently being processed to be returned to the retailer,,,,
In transit to EVRi tracking #: H01SSA0024646705,,,,
The delivery of the item was unsuccessful,,,,
Votre colis est livré.?Colis retourné à l'expéditeur?,,,,
Held in customs,,,,
The shipment is being brought to [Habsburgerstr. 29  79104 Freiburg im Breisgau].The earliest time when it can be picked up can be found on the notification card.,,,,
In transit to MAERSK tracking #:  epg040501101765479,,,,
PROCESSED THROUGH USPS FACILITY,,,,
In transit to GLSEU tracking #:  984204396352,,,,
We were unable to dispatch the trailer on time. This may cause a delay.,,,,
"Unfortunately this parcel is damaged, we will return it to the depot to assess the damage",,,,
Not delivered-Bad address,,,,
SHIPMENT FURTHER CONNECTED,,,,
The item has been processed in the country of destination,,,,
In transit to MAERSK tracking #:  epg040501101765651,,,,
Package was returned to the sender ,,,,
Delivery exception,,,,
l'adresse de livraison est incomplète et nous ne pouvons pas vous livrer votre colis. Nous sommes à la recherche d'informations complémentaires nous permettant d'assurer la bonne livraison de votre co,,,,
The shipment is being brought to [PACKSTATION 101 Kleinseebacher Str. 8 91096 Möhrendorf].The earliest time when it can be picked up can be found on the notification card.,,,,
Return has been processed at the  depot and will be with the retailer shortly,,,,
The shipment is being brought to [Webergasse 35  65183 Wiesbaden].The earliest time when it can be picked up can be found on the notification card.,,,,
Parcel delayed 24hrs at the depot,,,,
ORDER CREATED,,,,
PROCESS LOCATION,,,,
"The address provided isn't correct so we can't deliver today, please provide the correct details",,,,
The shipment is being brought to [Hauptstr. 33  88677 Markdorf].The earliest time when it can be picked up can be found on the notification card.,,,,
The shipment is being brought to [PACKSTATION 179 Skalitzer Str. 26 10999 Berlin].The earliest time when it can be picked up can be found on the notification card.,,,,
Customer enquiry lodged,,,,
GATEWAY HOLD (International),,,,
At local FedEx facility,,,,
Onforwarded-Redirected by customer request,,,,
In transit to GLSEU tracking #:  984204404965,,,,
In transit to GLSEU tracking #:  984204405009,,,,
