Shipment Number,Internal Order ID,SKU,Venue,Order ID,Purchase Date,Current Status,Status Update Date,Scheduled Delivery Date
N1598839,408-2655500-1369121-1,GSPODB081JD739K,GM-France,408-2655500-1369121,2024-08-06 15:08:11,Delivered,2024-08-09 10:17:00,2024-08-09 10:17:00
N1599116,408-9783371-8720346-1,GSPODB081JD739K,GM-France,408-9783371-8720346,2024-08-07 09:54:57,Delivered,2024-08-09 10:17:00,2024-08-09 10:17:00
N1598906,405-1113130-4567516-1,GSPODB081JD739K,GM-France,405-1113130-4567516,2024-08-06 18:20:29,Delivered,2024-08-09 10:17:00,2024-08-09 10:17:00
Z304269,407-2049369-4508324-1-R1,GSPODB000FYXZNK,GM-France,407-2049369-4508324,2024-08-05 14:28:52,Delivered,2024-08-12 15:26:00,2024-08-12 15:26:00
Z304232,403-5632880-9497146-1-R1,GSPODB081JD739K,GM-France,403-5632880-9497146,2024-08-05 12:23:05,Delivered,2024-08-12 15:12:00,2024-08-12 15:12:00
Z304256,404-6025616-5296301-1-R1,GBEAUB09HRNTPXJ,GM-France,404-6025616-5296301,2024-08-05 15:39:55,Delivered,2024-08-10 11:46:00,2024-08-10 11:46:00
N1599225,407-5883170-6763544-1,GBEAUB09HRNTPXJ,GM-France,407-5883170-6763544,2024-08-07 16:49:56,Delivered,2024-08-10 11:46:00,2024-08-10 11:46:00
N1599439,404-3695918-1913102-1,GSPODB081JD739K,GM-France,404-3695918-1913102,2024-08-08 07:53:45,Delivered,2024-08-10 11:46:00,2024-08-10 11:46:00
N1599193,171-6310983-6890725-1,GSPODB081JD739K,GM-France,171-6310983-6890725,2024-08-07 15:31:46,Delivered,2024-08-10 11:46:00,2024-08-10 11:46:00
N1599481,406-5520163-6450722-1,INDSCB00DJUHGHI,GM-France,406-5520163-6450722,2024-08-08 10:30:41,Delivered,2024-08-12 15:12:00,2024-08-12 15:12:00
N1599592,408-7958868-4442712-1,GBEAUB0BJ4GZTK1,GM-France,408-7958868-4442712,2024-08-08 16:40:02,Delivered,2024-08-10 11:46:00,2024-08-10 11:46:00
N1599494,406-3159231-5792341-1,GBEAUB00006MMU6,GM-France,406-3159231-5792341,2024-08-08 11:00:32,Delivered,2024-08-13 12:10:00,2024-08-13 12:10:00
N1599479,408-8065364-0549164-1,GSPODB081JD739K,GM-France,408-8065364-0549164,2024-08-08 10:25:08,Delivered,2024-08-12 15:12:00,2024-08-12 15:12:00
N1599460,402-8113716-9422761-1,GBEAUB09HRNTPXJ,GM-France,402-8113716-9422761,2024-08-08 09:35:50,Delivered,2024-08-12 15:12:00,2024-08-12 15:12:00
N1599570,408-9219747-2834724-1,GBEAUB09HRNTPXJ,GM-France,408-9219747-2834724,2024-08-08 14:52:41,Delivered,2024-08-12 15:12:00,2024-08-12 15:12:00
N1599867,408-6506744-7297157-1,GBEAUB084ZHY9RR,GM-France,408-6506744-7297157,2024-08-09 13:55:25,Delivered,2024-08-12 19:51:00,2024-08-12 19:51:00
N1599817,404-1664893-1259558-1,GSPODB081JD739K,GM-France,404-1664893-1259558,2024-08-09 10:12:12,Delivered,2024-08-12 15:12:00,2024-08-12 15:12:00
N1599870,406-0152953-4977117-1,GSPODB00GFWCTXI,GM-France,406-0152953-4977117,2024-08-09 14:34:27,Delivered,2024-08-13 11:57:00,2024-08-13 11:57:00
N1599836,404-6675900-0768312-1,GVGSSB07DL1N1Q9,GM-France,404-6675900-0768312,2024-08-09 12:17:41,Delivered,2024-08-14 12:32:00,2024-08-14 12:32:00
N1599801,402-2775277-6197939-1,GSPODB0BFJK8K4S,GM-France,402-2775277-6197939,2024-08-09 09:19:52,Delivered,2024-08-13 12:10:00,2024-08-13 12:10:00
N1599906,408-3453511-6013132-1,GSPODB081JD739K,GM-France,408-3453511-6013132,2024-08-09 17:06:30,Delivered,2024-08-12 15:12:00,2024-08-12 15:12:00
N1599928,405-9815894-5799554-1,GSPODB081JD739K,GM-France,405-9815894-5799554,2024-08-09 18:23:59,Delivered,2024-08-12 12:47:00,2024-08-12 12:47:00
N1600114,404-4219587-5791526-1,GSPODB0BFJK8K4S,GM-France,404-4219587-5791526,2024-08-10 11:42:47,Delivered,2024-08-12 15:12:00,2024-08-12 15:12:00
