Shipment Number,Internal Order ID,SKU,Venue,Order ID,Purchase Date,Current Status,Status Update Date,Scheduled Delivery Date
N1615611,702-5422308-2153054-1,APPARB09LM3XWC3,gm-amc,702-5422308-2153054,2024-09-12 20:51:25,DELIVERED ,2024-09-16 10:21:12,
N1616494,Y40179268-1,ELECCB088RBW5WB,walmart-Canada,Y40179268,2024-09-15 04:09:28,DELIVERED ,2024-09-19 10:08:56,
N1617350,203-8123664-4602757-1,USPOAB074QLSQGN,gm-amuk,203-8123664-4602757,2024-09-16 21:25:45,DELIVERED ,2024-09-19 10:08:56,
Z308234,405-9316948-9017129-1-R1,HARDWB09W2H5MB2,GM-Italy,405-9316948-9017129,2024-09-19 07:21:37,DELIVERED ,2024-09-25 11:02:30,
Z308226,702-4019965-0964264-1-R1,HEALTB01LYVJRD6,GM_amazon_CA_Renewed,702-4019965-0964264,2024-09-19 18:09:27,DELIVERED ,2024-09-25 11:02:30,
N1621305,405-8095632-3485125-1,HEALTB0CD1JCWL1,GM-France,405-8095632-3485125,2024-09-24 19:13:17,DELIVERED ,2024-09-27 10:23:51,
N1621871,702-6598013-4302648-1,LIGHTB0BRZWC624,GM_amazon_CA_Renewed,702-6598013-4302648,2024-09-25 16:19:57,DELIVERED ,2024-09-30 09:35:07,
N1546955,701-2773356-0698653-1,APPARB096FDXBQK,gm-amc,701-2773356-0698653,2024-06-12 04:00:23,Delivered,2024-06-17 10:16:24,
N1597836,408-2758229-4904332-1,BBAGPB0BL427C73,GM-France,408-2758229-4904332,2024-08-03 20:42:46,DELIVERED ,2024-08-07 10:12:24,
Z305340,701-3758326-4825007-2-R1,APPARB071YM17SD,GM_amazon_CA_Renewed,701-3758326-4825007,2024-08-22 11:31:40,DELIVERED ,2024-08-29 11:25:47,
N1612691,Y40086028-1,WBEAUB07WVYFSG5,walmart-Canada,Y40086028,2024-09-07 09:09:21,DELIVERED ,2024-09-12 10:10:38,
Z295458,701-9172973-3911417-1-R1,CAUTOB09K825TDS,gm-amc,701-9172973-3911417,2024-06-30 02:23:44,Delivered,2024-07-12 10:20:15,
N1603670,701-3455655-4872265-1,HARDWB00NP4FCII,GM_amazon_CA_Renewed,701-3455655-4872265,2024-08-21 04:30:42,DELIVERED ,2024-08-26 09:37:53,
N1603150,702-2387686-1229806-1,HARDWB00NP4FCII,GM_amazon_CA_Renewed,702-2387686-1229806,2024-08-19 21:30:41,DELIVERED ,2024-08-23 10:09:54,
N1550192,701-9596579-6651420-1,HARDWB00NP4FCII,gm-amc,701-9596579-6651420,2024-06-15 01:33:15,Delivered,2024-06-20 11:04:22,
N1573547,701-3447230-3605028-1,INDSCB075785LR8,gm-amc,701-3447230-3605028,2024-07-04 15:53:07,Delivered,2024-07-11 11:43:51,
N1571414,701-5633084-4160227-1,INDSCB075785LR8,gm-amc,701-5633084-4160227,2024-07-02 20:05:02,Delivered,2024-07-11 11:43:51,
N1570836,408-1633243-6400364-1,ARTSSB09KW98GGG,NM-IND,408-1633243-6400364,2024-07-02 11:30:47,Delivered,2024-07-10 11:16:53,2024-07-10 11:16:53
Z300345,702-4091457-2309027-1-R1,ARTSSB08JQNHBQB,gm-amc,702-4091457-2309027,2024-07-16 06:27:00,Delivered,2024-07-24 11:12:23,2024-07-24 11:12:23
N1577870,702-6922337-4149028-1,COFFPB01NBEVG4I,gm-amc,702-6922337-4149028,2024-07-08 13:12:14,Delivered,2024-07-10 11:16:53,
N1560011,701-0480462-0940215-1,HOMEEB011Y8V07I,gm-amc,701-0480462-0940215,2024-06-22 20:57:31,Delivered,2024-06-25 11:08:02,
N1621297,702-3112597-3173009-1,HOMEEB07BNY8DBX,gm-amc,702-3112597-3173009,2024-09-24 19:38:44,DELIVERED ,2024-09-26 12:16:23,
N1543475,702-8530873-6623415-1,HOMEEB011Y93O1M,gm-amc,702-8530873-6623415,2024-06-08 22:51:48,Delivered,2024-06-11 10:37:42,
N1560007,701-5333614-7301045-1,HOMEEB011Y8V07I,gm-amc,701-5333614-7301045,2024-06-22 20:56:00,Delivered,2024-06-25 11:08:02,
N1523383,202-2428013-8264363-1,HOMEEB00MJZYXKC,gm-amuk,202-2428013-8264363,2024-05-08 09:01:51,Delivered,2024-05-09 22:30:18,2024-05-09 10:03:45
N1566305,702-4105345-7941836-1,COFFPB001IKKIVW,gm-amc,702-4105345-7941836,2024-06-27 19:46:16,Delivered,2024-07-03 11:04:36,
N1536031,205-2071336-7602740-1,ELAELB002B3YDDE,gm-amuk,205-2071336-7602740,2024-06-01 15:11:09,Delivered,2024-06-07 10:06:16,
N1564240,702-9059465-9157014-1,ELELAB08R5DRBKV,gm-amc,702-9059465-9157014,2024-06-26 03:41:23,Delivered,2024-07-03 11:04:36,
N1538763,701-9385675-9071412-2,CSPODB00IA0FN0O,gm-amc,701-9385675-9071412,2024-06-03 18:12:28,Delivered,2024-06-06 10:11:17,
N1538110,701-9385675-9071412-1,CSPODB00IA0FN0O,gm-amc,701-9385675-9071412,2024-06-03 18:12:28,Delivered,2024-06-06 11:19:38,
N1536849,701-2632863-8818637-1,CSPODB00IA0FN0O,gm-amc,701-2632863-8818637,2024-06-02 13:52:21,Delivered,2024-06-06 07:41:54,2024-06-05 10:31:24
N1509305,702-4001241-7154629-1,CAUTOB000CMH1JY,gm-amc,702-4001241-7154629,2024-04-10 03:09:51,Delivered,2024-04-12 20:40:53,2024-04-12 11:00:12
N1539947,702-2466626-5141810-1,CAUTOB08G6GJMKJ,gm-amc,702-2466626-5141810,2024-06-05 14:16:29,Delivered,2024-06-10 09:47:35,
N1570983,701-1297405-3401031-1,CAUTOB01N7BQXSO,gm-amc,701-1297405-3401031,2024-07-02 14:18:33,Delivered,2024-07-10 11:16:53,2024-07-10 11:16:53
N1611247,701-5625624-1350659-1,CAUTOB079YFJ93N,gm-amc,701-5625624-1350659,2024-09-04 19:41:53,DELIVERED ,2024-09-09 11:00:37,
N1603835,T5F888T-1,KITCHB08GK6G8ZR,onbuy.com,T5F888T,2024-08-21 03:08:26,DELIVERED ,2024-08-27 10:25:57,
N1523126,Y38659403-1,KITCHB08MVXHK3H,walmart-Canada,Y38659403,2024-05-07 10:05:03,Delivered,2024-05-13 14:45:02,2024-05-13 09:52:14
N1516188,701-9491860-7273842-1,KITCHB08MVXHK3H,gm-amc,701-9491860-7273842,2024-04-22 16:32:52,Delivered,2024-04-27 00:24:49,2024-04-26 10:06:41
N1509985,206-7206774-3387521-1,KITCHB0BC223K5M,gm-amuk,206-7206774-3387521,2024-04-11 08:08:01,Delivered,2024-04-16 21:51:12,2024-04-16 10:30:50
N1592857,206-5057255-0158762-1,KITCHB08GK6G8ZR,gm-amuk,206-5057255-0158762,2024-07-23 18:09:31,Delivered,2024-07-29 09:57:27,2024-07-29 09:57:27
N1497940,403-1671726-4338712-1,FURNSB086WNN84J,GM-France,403-1671726-4338712,2024-03-21 09:22:20,Delivered,2024-03-25 17:47:14,2024-03-25 10:39:47
N1609064,701-0006763-3020208-1,CAUTOB097QDKJJ2,GM_amazon_CA_Renewed,701-0006763-3020208,2024-09-01 04:07:41,DELIVERED ,2024-09-09 10:06:27,
N1473394,702-9326896-2322600-1,ARTSSB09X1RYY32,gm-amc,702-9326896-2322600,2024-02-06 13:01:39,Delivered,2024-02-14 20:01:43,2024-02-14 10:38:22
N1583274,702-2479108-5820242-1,INDSCB01D1SB2UO,gm-amc,702-2479108-5820242,2024-07-13 04:30:22,Delivered,2024-07-16 11:12:52,
N1564799,702-1373436-9278607-1,PATLGB009JCWGCK,gm-amc,702-1373436-9278607,2024-06-26 16:28:15,Delivered,2024-06-28 10:41:19,
N1619936,701-2233726-5125014-1,INDSCB01D1SB2UO,gm-amc,701-2233726-5125014,2024-09-22 15:03:10,DELIVERED ,2024-09-24 11:36:43,
N1539198,701-0741140-6750652-1,INDSCB000BUPCA2,gm-amc,701-0741140-6750652,2024-06-04 19:05:11,Delivered,2024-06-06 10:11:17,
N1547488,702-8907275-6961004-1,INDSCB0099BQGHM,gm-amc,702-8907275-6961004,2024-06-10 20:37:29,Delivered,2024-06-14 10:41:23,
N1545992,701-2810360-0161003-1,INDSCB009JCWJQ8,gm-amc,701-2810360-0161003,2024-06-11 11:04:17,Delivered,2024-06-13 06:58:23,2024-06-12 10:31:32
N1539959,701-2393352-5861853-1,INDSCB009JCWN9Q,gm-amc,701-2393352-5861853,2024-06-05 14:32:41,Delivered,2024-06-07 10:06:16,
N1572460,701-5554100-1849035-1,INDSCB008HOXOG8,gm-amc,701-5554100-1849035,2024-07-03 17:43:01,Delivered,2024-07-09 11:06:19,2024-07-09 11:06:19
