shipment_no,log,current_status
C1769525,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769522,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769516,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635890,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769488,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769482,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769476,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769472,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635553,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769454,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769451,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635551,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769449,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635550,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635548,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635549,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769447,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769445,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769426,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635514,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635513,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635512,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635510,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635511,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769431,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769430,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769429,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769428,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635509,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769415,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769414,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635508,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769413,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769412,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635507,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769411,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769410,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635473,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635472,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635471,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635470,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635469,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769409,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769408,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769407,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635467,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635468,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769406,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
W702261,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769405,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635466,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635465,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635464,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769401,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635462,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635463,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635461,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
W702260,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635433,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635432,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635431,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635430,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
W702259,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769399,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635429,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769395,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769389,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769388,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635427,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769387,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635400,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635385,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635384,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635373,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769377,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769376,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
W702253,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769370,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
W702258,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769369,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769368,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769364,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769363,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769362,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769360,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769359,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769350,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769348,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769347,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769349,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769339,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769338,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769337,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769336,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769335,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
W702256,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635295,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769328,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635293,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635607,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635291,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769327,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769326,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
W702257,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769325,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635292,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635277,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635278,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769324,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769322,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769323,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769321,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769320,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635276,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
W702255,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635275,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769318,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769315,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769316,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769317,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635274,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769314,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769312,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
W702254,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769313,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769303,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635272,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635271,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769301,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769299,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769300,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769298,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635248,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769297,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769296,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769295,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635245,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769294,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635247,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635244,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769293,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769292,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635243,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635242,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769290,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769291,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769261,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769280,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635241,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769278,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635240,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635239,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635238,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635237,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769276,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635236,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769277,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635214,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769275,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769273,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769274,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635213,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769272,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635212,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769271,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635211,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635210,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769270,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769269,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769268,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769266,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769267,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769265,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635208,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769264,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635207,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635205,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635206,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769262,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769246,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635204,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769245,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769263,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769244,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635203,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635202,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635201,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769243,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635199,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635197,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769242,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769241,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769240,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635196,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769239,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635175,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635174,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635198,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635173,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769238,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635172,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769237,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769236,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769235,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769234,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769233,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769232,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769230,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769231,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769229,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769205,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635372,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769204,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769203,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769202,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769201,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769199,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769200,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
G1406499,"[['NA', 'NA', 'NA']]",PA - In Transit
C1769198,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769197,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635161,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
W702252,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635141,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635140,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769195,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769194,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635127,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635126,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769192,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769193,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
W702247,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769190,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769191,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769188,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769189,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635124,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635139,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635138,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635137,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635122,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769187,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769186,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769184,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769185,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769183,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635249,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635136,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635121,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635120,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769164,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635135,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635119,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635134,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635132,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635131,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635114,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635117,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635115,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635129,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769163,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769162,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635113,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769161,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635111,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769160,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635130,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635128,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769159,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635109,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769157,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769158,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769156,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769155,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769154,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769153,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635108,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769152,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635105,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635104,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635084,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769147,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769150,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635103,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635083,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769149,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769146,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635101,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635082,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635081,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769148,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769144,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769143,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769142,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635077,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635079,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635078,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769141,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635100,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635075,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635076,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635074,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769128,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635071,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635096,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635073,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769127,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635098,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635093,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635094,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769125,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
